subject,title,author,appearances,score
Engineering,Principles of Geotechnical Engineering,Braja M. Das,132,23
Engineering,Principles of Electric Circuits,Thomas L. Floyd,132,17
Engineering,Engineering Fluid Mechanics,Donald F. Elger,132,14
Engineering,Software Engineering: A Practitioner's Approach,Roger S. Pressman,130,97
Engineering,Wireless Communications: Principles and Practice,Theodore S. Rappaport,130,70
Engineering,Boundary-Layer Theory,Hermann Schlichting,130,30
Engineering,Power System Analysis and Design,J. Duncan Glover,128,35
Engineering,Computer Aided Design,Advanced Course on Computer-Aided Design,127,47
Engineering,The Mechanical Design Process,David G. Ullman,125,19
Engineering,Medical Instrumentation: Application and Design,John G. Webster,124,55
Chemistry,"Chemistry, the Central Science",H. LeMay,2680,94
Chemistry,Chemistry: A Molecular Approach,Nivaldo J. Tro,2026,85
Chemistry,Organic Chemistry,John McMurry,1512,85
Chemistry,"General, Organic, and Biological Chemistry: Structures of Life",Karen C. Timberlake,1396,69
Chemistry,Chemistry,Steven S. Zumdahl,1121,69
Chemistry,Introductory Chemistry,Nivaldo J. Tro,1098,54
Chemistry,Quantitative Chemical Analysis,Daniel C. Harris,1032,87
Chemistry,Organic Chemistry,L. G. Wade,1021,67
Chemistry,Chemistry: The Molecular Nature of Matter and Change,Martin S. Silberberg,895,52
Chemistry,Organic Chemistry,David R. Klein,763,45
Chemistry,"Chemistry: An Introduction to General, Organic, and Biological Chemistry",Karen C. Timberlake,731,47
Chemistry,General Chemistry,Darrell D. Ebbing,702,44
Chemistry,Principles of Instrumental Analysis,Douglas A. Skoog,694,90
Chemistry,Introductory Chemistry: Concepts and Connections,Charles H. Corwin,606,33
Chemistry,Organic Chemistry,Paula Yurkanis Bruice,590,66
Chemistry,Organic Chemistry,Craig B. Fryhle,582,55
Chemistry,"General, Organic, and Biochemistry",K. J. Denniston,482,27
Chemistry,Chemistry and Chemical Reactivity,Paul M. Treichel,476,36
Chemistry,Inorganic Chemistry,Gary L. Miessler,448,48
Chemistry,Chemistry,John McMurry,445,30
Chemistry,Organic Chemistry,F. S. Spring,441,36
Chemistry,The Organic Chem Lab Survival Manual: A Student's Guide to Techniques,James W. Zubrick,407,29
Chemistry,Laboratory Manual for Principles of General Chemistry,J. A. Beran,402,21
Chemistry,Acids and Bases,Gilbert N. Lewis,391,27
Chemistry,Organic Chemistry,Brent L. Iverson,391,22
Chemistry,Physical Chemistry,Julio De Paula,388,60
Chemistry,Inorganic Chemistry,D. F. Shriver,385,69
Chemistry,Physical Chemistry,P. W. Atkins,376,85
Chemistry,Organic Chemistry as a Second Language,David R. Klein,374,20
Chemistry,Physical Chemistry: A Molecular Approach,Donald A. McQuarrie,373,31
Chemistry,Chemistry,Raymond Chang,355,22
Chemistry,Pushing Electrons: A Guide for Students of Organic Chemistry,Daniel P. Weeks,344,26
Chemistry,Organic Chemistry,Janice G. Smith,342,23
Chemistry,Chemistry,Julia Burdge,342,18
Chemistry,Student Lab Notebook,Hayden-McNeil,338,24
Chemistry,General Chemistry: Atoms First,John McMurry,337,17
Chemistry,Fundamentals of Analytical Chemistry,Douglas A. Skoog,336,70
Chemistry,Organic Chemistry,Francis A. Carey,315,32
Chemistry,Experiments in Physical Chemistry,David P. Shoemaker,314,34
Chemistry,General Chemistry: Principles and Modern Applications,Ralph H. Petrucci,303,37
Chemistry,The ACS Style Guide: Effective Communication of Scientific Information,Anne M. Coghill,303,20
Chemistry,Introduction to Organic Laboratory Techniques: A Microscale Approach,Donald L. Pavia,300,19
Chemistry,Principles of Chemistry: A Molecular Approach,Nivaldo J. Tro,278,15
Chemistry,Advanced Inorganic Chemistry: A Comprehensive Text,F. Albert Cotton,267,65
Chemistry,Exploring Chemical Analysis,Daniel C. Harris,267,23
Chemistry,Chemistry for Changing Times,Doris K. Kolb,267,17
Chemistry,Introductory Chemistry: A Foundation,Steven S. Zumdahl,262,19
Chemistry,Microscale Organic Laboratory: With Multistep and Multiscale Syntheses,Dana W. Mayo,254,14
Chemistry,Conceptual Chemistry: Understanding Our World of Atoms and Molecules,John Suchocki,252,14
Chemistry,"Fundamentals of General, Organic, and Biological Chemistry",John McMurry,244,17
Chemistry,Organic Chemistry,T. W. Graham Solomons,239,29
Chemistry,Principles of Modern Chemistry,David W. Oxtoby,237,15
Chemistry,Basic Chemistry,Karen C. Timberlake,237,13
Chemistry,"General, Organic, and Biological Chemistry: An Integrated Approach",Laura D. Frost,235,13
Chemistry,Organic Chemistry: Structure and Function,K. Peter C. Vollhardt,232,28
Chemistry,Chemical Principles,Steven S. Zumdahl,228,22
Chemistry,"Introduction to General, Organic and Biochemistry",Frederick A. Bettelheim,228,17
Chemistry,Introduction to Spectroscopy: A Guide for Students of Organic Chemistry,Donald L. Pavia,226,48
Chemistry,"Chemistry for Today: General, Organic, and Biochemistry",Spencer L. Seager,226,14
Chemistry,Physical Chemistry,Thomas Engel,225,35
Chemistry,Chemistry: The Central Science,Theodore L. Brown,225,24
Chemistry,General Chemistry: The Essential Concepts,Raymond Chang,223,16
Chemistry,"General, Organic, and Biological Chemistry",Janice G. Smith,223,12
Chemistry,Inorganic Chemistry: Principles of Structure and Reactivity,James E. Huheey,215,73
Chemistry,Chemical Principles: The Quest for Insight,P. W. Atkins,215,30
Chemistry,Gas Chromatography,Phase Separations,214,15
Chemistry,Physical Chemistry,Robert J. Silbey,212,27
Chemistry,Principles of General Chemistry,Martin S. Silberberg,211,12
Chemistry,Lehninger Principles of Biochemistry,Michael M. Cox,206,90
Chemistry,Experimental Organic Chemistry: A Miniscale and Microscale Approach,John C. Gilbert,203,12
Chemistry,The ACS Style Guide: A Manual for Authors and Editors,Janet S. Dodd,200,14
Chemistry,Advanced Organic Chemistry Part A,Francis A. Carey,199,31
Chemistry,Inorganic Chemistry,Catherine E. Housecroft,190,54
Chemistry,Chemistry: The Molecular Science,John W. Moore,190,10
Chemistry,Chemical Applications of Group Theory,F. Albert Cotton,189,33
Chemistry,"General, Organic, and Biological Chemistry",H. Stephen Stoker,189,14
Chemistry,Fundamentals of Biochemistry: Life at the Molecular Level,Donald Voet,188,60
Chemistry,Conceptual Physical Science,Paul G. Hewitt,188,46
Chemistry,General Chemistry,Kenneth W. Whitten,185,11
Chemistry,Organic Chemistry,G. Marc Loudon,183,19
Chemistry,Organic Chemistry: A Short Course,Harold Hart,183,15
Chemistry,Foundations of College Chemistry,Morris Hein,174,13
Chemistry,Introductory Chemistry: An Active Learning Approach,Mark S. Cracolice,171,9
Chemistry,Spectrometric Identification of Organic Compounds,Robert M. Silverstein,165,50
Chemistry,Physical Chemistry: Principles and Applications in Biological Sciences,Ignacio Tinoco,162,18
Chemistry,Organic Chemistry,George S. Kriz,153,10
Chemistry,Student Solutions Manual: Chemistry,Brandon Cruickshank,153,8
Chemistry,Experimental Organic Chemistry: Theory and Practice,Charles F. Wilcox,152,9
Chemistry,Solutions Manual,John McMurry,151,9
Chemistry,Macroscale and Microscale Organic Experiments,Kenneth L. Williamson,150,13
Chemistry,Lehninger Principles of Biochemistry,Albert L. Lehninger,148,95
Chemistry,Organic Chemistry,Christopher S. Foote,148,9
Chemistry,Aquatic Chemistry: An Introduction Emphasizing Chemical Equilibria in Natural Waters,Werner Stumm,147,21
Chemistry,"Techniques in Organic Chemistry: Miniscale, Standard Taper Microscale, and Williamson Microscale",Jerry R. Mohrig,147,10
Chemistry,Mass Spectrometry,NATO Advanced Study Institute on Mass Spectrometry,146,23
Chemistry,Analytical Chemistry: An Introduction,Douglas A. Skoog,144,36
Chemistry,"Laboratory Manual for General, Organic, and Biological Chemistry",Karen Timberlake,142,7
Chemistry,Chemistry in Context: Applying Chemistry to Society,Catherine Middlecamp,138,8
Chemistry,Chemistry: Matter and Its Changes,James E. Brady,135,9
Chemistry,"Advanced Organic Chemistry: Reactions, Mechanisms, and Structure",Jerry March,134,50
